has_kiosk,eightd_has_key_dispenser,capacity,external_id,short_name,rental_methods,name,electric_bike_surcharge_waiver,rental_uris,lat,eightd_station_services,station_type,region_id,station_id,lng
True,False,9,08258475-1f3f-11e7-bf6b-3863bb334450,32009,"['KEY', 'CREDITCARD']",Frederick Ave & Horners Ln,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",39.094772,[],classic,43,08258475-1f3f-11e7-bf6b-3863bb334450,-77.145213
True,False,17,83c9bc80-bc42-4e5d-9f5e-6c24812e6e37,31939,"['KEY', 'CREDITCARD']",Wilson Blvd & N Oak St,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.895068,[],classic,41,83c9bc80-bc42-4e5d-9f5e-6c24812e6e37,-77.07386
True,False,15,0825e1e5-1f3f-11e7-bf6b-3863bb334450,31638,"['KEY', 'CREDITCARD']",1st & H St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.900358,[],classic,42,0825e1e5-1f3f-11e7-bf6b-3863bb334450,-77.012108
True,False,12,f0101beb-a103-46e4-93f5-c7880b85411b,32267,"['KEY', 'CREDITCARD']",Route 29 & Bisvey Dr,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.876912,[],classic,104,f0101beb-a103-46e4-93f5-c7880b85411b,-77.195847
True,False,11,e456b38d-7f5e-4d06-b2bc-022b42097a06,31941,"['KEY', 'CREDITCARD']",N Hampton Dr & Ford Ave,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.837306,[],classic,40,e456b38d-7f5e-4d06-b2bc-022b42097a06,-77.106111
True,False,19,a07bd5e0-5136-4285-ae23-54a74124957e,31524,"['KEY', 'CREDITCARD']",Montello Ave & Holbrook Terr NE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.907444,[],classic,42,a07bd5e0-5136-4285-ae23-54a74124957e,-76.986813
True,False,15,0824ea2c-1f3f-11e7-bf6b-3863bb334450,31014,"['KEY', 'CREDITCARD']",19th St N & Ft Myer Dr,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.897218,[],classic,41,0824ea2c-1f3f-11e7-bf6b-3863bb334450,-77.072143
True,False,15,08257325-1f3f-11e7-bf6b-3863bb334450,32001,"['KEY', 'CREDITCARD']",Fenton St & New York Ave ,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.985404,[],classic,44,08257325-1f3f-11e7-bf6b-3863bb334450,-77.023082
True,False,19,fbbeab20-556d-4275-98a9-f84d316c157f,31661,"['KEY', 'CREDITCARD']",8th & H St NE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.899941626884754,[],classic,42,fbbeab20-556d-4275-98a9-f84d316c157f,-76.99489653110504
True,False,19,08255063-1f3f-11e7-bf6b-3863bb334450,31267,"['KEY', 'CREDITCARD']",17th St & Massachusetts Ave NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.908568,[],classic,42,08255063-1f3f-11e7-bf6b-3863bb334450,-77.038542
True,False,11,a77b8993-6d68-425e-a37a-0e613a7cb17a,32234,"['KEY', 'CREDITCARD']",Merrilee Dr & Lauren Elizabeth Lane,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.87857249314831,[],classic,104,a77b8993-6d68-425e-a37a-0e613a7cb17a,-77.23076596856116
True,False,19,8bbafd08-edb1-426d-94f4-c7b7d9be34dd,31528,"['KEY', 'CREDITCARD']",John McCormack Rd NE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.938889,[],classic,42,8bbafd08-edb1-426d-94f4-c7b7d9be34dd,-76.997226
True,False,15,0826402c-1f3f-11e7-bf6b-3863bb334450,31917,"['KEY', 'CREDITCARD']",N Lynn St & Fairfax Dr,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.89386,[],classic,41,0826402c-1f3f-11e7-bf6b-3863bb334450,-77.070862
True,False,13,2025978688145375308,32432,"['KEY', 'CREDITCARD']",Bladensburg Waterfront Park,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.934324,[],classic,133,2025978688145375308,-76.938248
True,False,15,d72b1790-0fea-4af8-9d2a-fd4d4db24d1a,31818,"['KEY', 'CREDITCARD']",Livingston Rd & 3rd St SE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.82373,[],classic,42,d72b1790-0fea-4af8-9d2a-fd4d4db24d1a,-77.00223
