id,station_name,short_name,total_docks,docks_in_service,status,lat,lng,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4
a3a42a93-a135-11e9-9cda-0a87ae2ba916,Wabash Ave & Adams St,KA1503000015,23,23,In Service,41.8794723523,-87.6256886059,"{'type': 'Point', 'coordinates': [-87.6256886059, 41.87947235235]}",22,14912,38,367,36,29,34
1561012883010990646,Komensky Ave & 31st St,,9,9,In Service,41.836708,-87.725641,"{'type': 'Point', 'coordinates': [-87.725641, 41.836708]}",14,21569,32,200,28,57,22
1563698705501259788,Kilpatrick Ave & Parker Ave,,9,9,In Service,41.930736,-87.744082,"{'type': 'Point', 'coordinates': [-87.744082, 41.930736]}",7,22615,19,305,17,2,31
1436495119852630436,N Damen Ave & W Chicago Ave,,6,6,In Service,41.895809,-87.678519,"{'type': 'Point', 'coordinates': [-87.678519, 41.895809]}",24,21560,25,547,41,28,36
1861613253877461614,St. Louis & 71st St,23138,15,15,In Service,41.764354,-87.710121,"{'type': 'Point', 'coordinates': [-87.710121, 41.764354]}",6,21867,64,383,31,58,17
a3ad327e-a135-11e9-9cda-0a87ae2ba916,Union Ave & Root St,KA1503000032,11,11,In Service,41.819102,-87.643278,"{'type': 'Point', 'coordinates': [-87.643278, 41.819102]}",26,14924,59,123,48,37,7
a3a77c8d-a135-11e9-9cda-0a87ae2ba916,Canal St & Adams St,13011,47,47,In Service,41.879255,-87.639904,"{'type': 'Point', 'coordinates': [-87.639904, 41.879255]}",48,14914,29,786,36,45,34
a3a4499f-a135-11e9-9cda-0a87ae2ba916,Michigan Ave & Ida B Wells Dr,TA1305000010,15,15,In Service,41.876203,-87.624464,"{'type': 'Point', 'coordinates': [-87.624464, 41.876203]}",48,14913,38,367,36,35,9
1934289552037596050,Pershing Rd & Sacramento Ave,21339,15,15,In Service,41.8223772681,-87.69975413,"{'type': 'Point', 'coordinates': [-87.699754130038, 41.822377268101]}",49,22248,55,196,1,56,12
a3aaed81-a135-11e9-9cda-0a87ae2ba916,Clark St & Chicago Ave,13303,19,19,In Service,41.89675,-87.63089,"{'type': 'Point', 'coordinates': [-87.63089, 41.89675]}",22,14926,37,310,11,54,2
a3b38728-a135-11e9-9cda-0a87ae2ba916,Walsh Park,18067,23,23,In Service,41.91461,-87.667968,"{'type': 'Point', 'coordinates': [-87.667968, 41.91461]}",16,21560,23,209,40,4,32
a3b10a40-a135-11e9-9cda-0a87ae2ba916,Pulaski Rd & Lake St,528,11,11,In Service,41.885409,-87.726491,"{'type': 'Point', 'coordinates': [-87.726491, 41.885409]}",11,21572,27,659,23,30,28
a3a89488-a135-11e9-9cda-0a87ae2ba916,Woodlawn Ave & 55th St,TA1307000164,19,19,In Service,41.795264,-87.596471,"{'type': 'Point', 'coordinates': [-87.596471, 41.795264]}",1,21192,8,499,33,10,3
1934290380966283526,Spaulding Ave & 63rd,21349,15,15,In Service,41.7791655,-87.7056392,"{'type': 'Point', 'coordinates': [-87.7056392, 41.7791655]}",44,21867,64,344,6,58,14
1594046370923369112,Campbell Ave & Augusta Blvd,,9,9,In Service,41.899578,-87.689497,"{'type': 'Point', 'coordinates': [-87.689497, 41.899578]}",24,21560,25,542,49,4,36
1934009488956756950,Tripp Ave & 31st St,21368,15,15,In Service,41.836966,-87.730502,"{'type': 'Point', 'coordinates': [-87.730502, 41.836966]}",14,21569,32,248,28,57,22
1872721938125427506,Kedzie Ave & 83rd St,23117,15,15,In Service,41.742523,-87.702279,"{'type': 'Point', 'coordinates': [-87.702279, 41.742523]}",6,4300,69,199,30,8,18
1594046448262943690,Francisco Ave & Montrose Ave,,9,9,In Service,41.9610471,-87.700901,"{'type': 'Point', 'coordinates': [-87.700901, 41.9610471]}",2,21538,16,214,20,39,33
1958859802548216454,Komensky Ave & 47th St,24255,15,15,In Service,41.80769,-87.72472,"{'type': 'Point', 'coordinates': [-87.72472, 41.80769]}",49,22248,54,697,8,56,14
a3b4497a-a135-11e9-9cda-0a87ae2ba916,State St & 54th St,646,11,11,In Service,41.796642,-87.625923,"{'type': 'Point', 'coordinates': [-87.625923, 41.796642]}",12,14924,7,218,9,37,8
1863873701095594368,Wood St & 84th St,23124,15,15,In Service,41.741192,-87.668106,"{'type': 'Point', 'coordinates': [-87.668106, 41.741192]}",6,21554,70,532,13,59,18
1448642179437434482,W 103rd St & S Avers Ave,,10,10,In Service,41.705846,-87.717074,"{'type': 'Point', 'coordinates': [-87.717074, 41.705846]}",33,4447,73,316,42,33,19
a3b4aa91-a135-11e9-9cda-0a87ae2ba916,South Chicago Ave & Elliot Ave,665,7,7,In Service,41.747363,-87.580046,"{'type': 'Point', 'coordinates': [-87.580046, 41.747363]}",9,21202,41,431,35,25,10
1563698679731458032,Fullerton & Monitor,,9,9,In Service,41.9237918,-87.7723116,"{'type': 'Point', 'coordinates': [-87.7723116, 41.9237918]}",27,22615,19,57,44,2,36
1582242289567815212,Homan Ave & 65th St,,9,9,In Service,41.775144,-87.708129,"{'type': 'Point', 'coordinates': [-87.708129, 41.775144]}",44,21867,64,293,6,58,14
